Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
09/08/2019,20:00,Liverpool,Norwich,4,1
10/08/2019,12:30,West Ham,Man City,0,5
10/08/2019,15:00,Bournemouth,Sheffield United,1,1
10/08/2019,15:00,Burnley,Southampton,3,0
10/08/2019,15:00,Crystal Palace,Everton,0,0
10/08/2019,15:00,Watford,Brighton,0,3
10/08/2019,17:30,Tottenham,Aston Villa,3,1
11/08/2019,14:00,Leicester,Wolves,0,0
11/08/2019,14:00,Newcastle,Arsenal,0,1
11/08/2019,16:30,Man United,Chelsea,4,0
17/08/2019,12:30,Arsenal,Burnley,2,1
17/08/2019,15:00,Aston Villa,Bournemouth,1,2
17/08/2019,15:00,Brighton,West Ham,1,1
17/08/2019,15:00,Everton,Watford,1,0
17/08/2019,15:00,Norwich,Newcastle,3,1
17/08/2019,15:00,Southampton,Liverpool,1,2
17/08/2019,17:30,Man City,Tottenham,2,2
18/08/2019,14:00,Sheffield United,Crystal Palace,1,0
18/08/2019,16:30,Chelsea,Leicester,1,1
19/08/2019,20:00,Wolves,Man United,1,1
23/08/2019,20:00,Aston Villa,Everton,2,0
24/08/2019,12:30,Norwich,Chelsea,2,3
24/08/2019,15:00,Brighton,Southampton,0,2
24/08/2019,15:00,Man United,Crystal Palace,1,2
24/08/2019,15:00,Sheffield United,Leicester,1,2
24/08/2019,15:00,Watford,West Ham,1,3
24/08/2019,17:30,Liverpool,Arsenal,3,1
25/08/2019,14:00,Bournemouth,Man City,1,3
25/08/2019,16:30,Tottenham,Newcastle,0,1
25/08/2019,16:30,Wolves,Burnley,1,1
31/08/2019,12:30,Southampton,Man United,1,1
31/08/2019,15:00,Chelsea,Sheffield United,2,2
31/08/2019,15:00,Crystal Palace,Aston Villa,1,0
31/08/2019,15:00,Leicester,Bournemouth,3,1
31/08/2019,15:00,Man City,Brighton,4,0
31/08/2019,15:00,Newcastle,Watford,1,1
31/08/2019,15:00,West Ham,Norwich,2,0
31/08/2019,17:30,Burnley,Liverpool,0,3
01/09/2019,14:00,Everton,Wolves,3,2
01/09/2019,16:30,Arsenal,Tottenham,2,2
14/09/2019,12:30,Liverpool,Newcastle,3,1
14/09/2019,15:00,Brighton,Burnley,1,1
14/09/2019,15:00,Man United,Leicester,1,0
14/09/2019,15:00,Sheffield United,Southampton,0,1
14/09/2019,15:00,Tottenham,Crystal Palace,4,0
14/09/2019,15:00,Wolves,Chelsea,2,5
14/09/2019,17:30,Norwich,Man City,3,2
15/09/2019,14:00,Bournemouth,Everton,3,1
15/09/2019,16:30,Watford,Arsenal,2,2
